notation,prefLabel,scopeNote,level
RNF,Environmental management,,3
RNFD,Drought & water supply,,4
RNFF,Food security & supply,,4
RNFY,Energy resources,,4
RNH,Waste management,"Class here: Recycling, biodegradability. See also: TQSR “Waste treatment and disposal”",3
RNK,Conservation of the environment,,3
RNKH,Conservation of wildlife & habitats,,4
RNKH1,Endangered species & extinction of species,,5
RNP,Pollution & threats to the environment,See also: TQK “Pollution control”,3
RNPD,Deforestation,,4
RNPG,Climate change,"Class here: ‘greenhouse effect’, global warming, ozone depletion",4
RNQ,Nuclear issues,,3
RNR,Natural disasters,,3
RNT,Social impact of environmental issues,Class here: Human ecology,3
RNU,Sustainability,"See also: TBR “Intermediate technology”; THX “Alternative and renewable energy sources and technology”; KNBT “Alternative and renewable energy industries”; KJJ “Business and the environment, ‘Green’ approaches to business”",3
RP,Regional & area planning,,2
RPC,Urban & municipal planning,Class here: city and town planning. See also: AMVD “City and town planning – architectural aspects”,3
RPG,Rural planning,,3
RPT,Transport planning & policy,,3
T,"Technology, engineering, agriculture",Do not use “T” on individual books; select appropriate code(s) from Section T below,1
TB,Technology: general issues,"For the impact of technology on society, use PDR “Impact of science and technology on society”",2
TBC,Engineering: general,,3
TBD,Technical design,See also: AKP “Product design”,3
TBDG,Ergonomics,,4
TBG,Engineering graphics & technical drawing,See also: UGC “Computer aided design (CAD)”,3
TBJ,Maths for engineers,,3
TBM,Instruments & instrumentation engineering,,3
TBMM,Engineering measurement & calibration,,4
TBN,Nanotechnology,,3
TBR,Intermediate technology,,3
TBX,History of engineering & technology,,3
TBY,Inventions & inventors,,3
TC,Biochemical engineering,,2
TCB,Biotechnology,,3
TCBG,Genetic engineering,Class here: cloning. See also: PSAD “Bio-ethics”; JFMG “Ethical issues: scientific and technological developments”,4
TCBS,Biosensors,,4
TD,Industrial chemistry & manufacturing technologies,,2
TDC,Industrial chemistry,,3
TDCB,Chemical engineering,,4
TDCC,Heavy chemicals,,4
TDCD,Detergents technology,,4
TDCG,Powder technology,,4
TDCH,Insecticide & herbicide technology,See also: TVP “Pest control”,4
TDCJ,"Pigments, dyestuffs & paint technology",,4
TDCJ1,Cosmetics technology,,5
TDCK,Surface-coating technology,,4
TDCP,Plastics & polymers technology,,4
TDCQ,Ceramics & glass technology,,4
TDCR,Rubber technology,,4
TDCT,Food & beverage technology,See also: TTVC “Hotel and catering trades”,4
TDCT1,Brewing technology,,5
TDCT2,Winemaking technology,,5
TDCW,Pharmaceutical technology,,4
TDG,Leather & fur technology,,3
TDH,Textile & fibre technology,,3
TDJ,Timber & wood processing,,3
TDJP,Pulp & paper technology,,4
TDM,Metals technology / metallurgy,,3
TDP,Other manufacturing technologies,,3
TDPB,Precision instruments manufacture,,4
TDPB1,"Clocks, chronometers & watches (horology)",See also: WCJ “Antique clocks and watches”,5
TDPD,Household appliances manufacture,,4
TDPF,Furniture & furnishings manufacture,,4
TDPH,Clothing & footware manufacture,,4
TDPP,Printing & reprographic technology,,4
TG,Mechanical engineering & materials,,2
TGB,Mechanical engineering,,3
TGBF,Tribology (friction & lubrication),,4
TGBN,Engines & power transmission,,4
TGBN1,Steam engines,,5
TGM,Materials science,,3
TGMB,Engineering thermodynamics,,4
TGMD,Mechanics of solids,,4
TGMD4,Dynamics & vibration,,5
TGMD5,Stress & fracture,,5
TGMF,Mechanics of fluids,,4
TGMF1,Aerodynamics,,5
TGMF2,Hydraulics & pneumatics,,5
TGMF3,"Flow, turbulence, rheology",,5
TGMT,Testing of materials,,4
TGMT1,Non-destructive testing,,5
TGP,Production engineering,,3
TGPC,Computer aided manufacture (CAM),,4
TGPQ,Industrial quality control,,4
TGPR,Reliability engineering,,4
TGX,Engineering skills & trades,,3
TGXT,Tool making,,4
TGXW,Welding,,4
TH,Energy technology & engineering,,2
THF,Fossil fuel technologies,,3
THFG,Gas technology,,4
THFP,Petroleum technology,,4
THFS,Solid fuel technology,,4
THK,Nuclear power & engineering,,3
THN,Heat transfer processes,,3
THR,Electrical engineering,,3
THRB,Power generation & distribution,,4
THRD,"Power networks, systems, stations & plants",,4
THRF,Power utilization & applications,,4
THRH,Energy conversion & storage,,4
THRM,Electric motors,,4
THRS,Electrician skills,,4
THT,Energy efficiency,,3
THX,Alternative & renewable energy sources & technology,,3
TJ,Electronics & communications engineering,,2
TJF,Electronics engineering,,3
TJFC,Circuits & components,,4
TJFD,Electronic devices & materials,,4
TJFD1,Microprocessors,,5
TJFD3,Transistors,,5
TJFD5,Semi-conductors & super-conductors,,5
TJFM,Automatic control engineering,,4
TJFM1,Robotics,,5
TJFN,Microwave technology,,4
TJK,Communications engineering / telecommunications,,3
TJKD,Radar,,4
TJKR,Radio technology,,4
TJKS,Satellite communication,,4
TJKT,Telephone technology,,4
TJKT1,Mobile phone technology,See also: UDT “Mobile phones: consumer/guides”,5
TJKV,Television technology,,4
TJKW,WAP (wireless) technology,See also: UTW “WAP networking and applications”,4
TN,"Civil engineering, surveying & building",,2
TNC,Structural engineering,,3
TNCB,Surveying,,4
TNCB1,Quantity surveying,,5
TNCC,Soil & rock mechanics,,4
TNCE,Earthquake engineering,,4
TNCJ,Bridges,,4
TNF,Hydraulic engineering,,3
TNFD,Dams & reservoirs,,4
TNFH,Harbours & ports,,4
TNFL,Flood control,,4
TNFR,Land reclamation & drainage,,4
TNH,Highway & traffic engineering,,3
TNK,Building construction & materials,,3
TNKF,Fire protection & safety,,4
TNKH,"Heating, lighting, ventilation",,4
TNKS,Security & fire alarm systems,,4
TNKX,Conservation of buildings & building materials,,4
TNT,Building skills & trades,,3
TNTB,Bricklaying & plastering,,4
TNTC,Carpentry,,4
TNTP,Plumbing,,4
TNTR,Roofing,,4
TQ,"Environmental science, engineering & technology","Note: use for technical and practical aspects of environment, pollution, waste disposal, etc. See also: RN “The Environment” and following for ‘issues’-based approaches",2
TQD,Environmental monitoring,,3
TQK,Pollution control,,3
TQS,Sanitary & municipal engineering,,3
TQSR,Waste treatment & disposal,,4
TQSR1,Sewage treatment & disposal,,5
TQSR3,Hazardous waste treatment & disposal,,5
TQSW,Water supply & treatment,,4
TQSW1,Water purification & desalinization,,5
TR,Transport technology & trades,See also: KNG “Transport industries” and following; RPT “Transport planning and policy”; WG “Transport: General Interest” and following,2
TRC,Automotive technology & trades,,3
TRCS,Automotive (motor mechanic) skills,See also: WGCV “Vehicle maintenance and manuals”,4
TRCT,Road transport & haulage trades,,4
TRF,"Railway technology, engineering & trades",,3
TRFT,Railway trades,,4
TRL,"Shipbuilding technology, engineering & trades",,3
TRLD,Ship design & naval architecture,See also: WGGV “Boatbuilding and maintenance” for small boats and hobbyist approaches,4
TRLN,Navigation & seamanship,,4
TRLT,Maritime / nautical trades,,4
TRP,Aerospace & aviation technology,,3
TRPS,Aviation skills / piloting,,4
TRT,Intelligent & automated transport system technology,,3
TT,Other technologies & applied sciences,,2
TTA,Acoustic & sound engineering,,3
TTB,Applied optics,,3
TTBF,Fibre optics,,4
TTBL,Laser technology & holography,,4
TTBM,Imaging systems & technology,See also: MMP “Medical Imaging” and following for medical applications,4
TTBS,Scanning systems & technology,,4
TTD,Space science,See also: WNX “Popular astronomy and space” for popular works,3
TTDS,Astronautics,,4
TTM,Military engineering,,3
TTMW,"Ordnance, weapons technology",,4
TTP,Explosives technology & pyrotechnics,,3
TTS,Marine engineering,,3
TTSH,Offshore engineering,,4
TTSX,Sonar,,4
TTU,Mining technology & engineering,See also: RBGL “Economic geology”,3
TTV,Other vocational technologies & trades,,3
TTVC,Hotel & catering trades,See also: KNSH “Hospitality industry”,4
TTVH,Hairdressing & salon skills,,4
TTVR,Traditional trades & skills,"Class here: blacksmithing, thatching, dry stone walling, etc",4
TTX,Taxidermy,,3
TV,Agriculture & farming,See also: KNAC “Agriculture and related industries”,2
TVB,Agricultural science,,3
TVD,Agricultural engineering & machinery,,3
TVDR,Irrigation,,4
TVF,Sustainable agriculture,,3
TVG,Organic farming,,3
TVH,Animal husbandry,,3
TVHB,Animal breeding,,4
TVHF,Dairy farming,,4
TVHH,Apiculture (beekeeping),,4
TVHP,Poultry farming,,4
TVK,Agronomy & crop production,,3
TVKC,Cereal crops,,4
TVKF,Fertilizers & manures,,4
TVM,Smallholdings,,3
TVP,Pest control,Class here: agricultural use of pesticides and herbicides,3
TVQ,Tropical agriculture: practice & techniques,,3
TVR,Forestry & silviculture: practice & techniques,See also: KNAL “Forestry and related industries”,3
TVS,Horticulture,See also: WM “Gardening”,3
TVSW,Viticulture,,4
TVT,Aquaculture & fish-farming: practice & techniques,See also: KNAF “Fisheries and related industries”,3
U,Computing & information technology,,1
UB,Information technology: general issues,,2
UBH,Health & safety aspects of IT,,3
UBJ,Ethical & social aspects of IT,,3
UBL,Legal aspects of IT,"See also: LNCB2 “E-Commerce law”, LNQ “IT and communications law” for actual law books",3
UBW,Internet: general works ,"Class here: Semantic Web, Web 3.0, etc",3
UD,Digital lifestyle,Use UD* codes for consumer/user guides; prefer other U* codes for professional and high-level works,2
UDA,Personal organisation software & apps,Class here: iLife and similar applications,3
UDB,Internet guides & online services,,3
UDBA,Online shopping & auctions,,4
UDBD,Internet searching,,4
UDBG,Internet gambling,,4
UDBM,Online finance & investing,,4
UDBR,Internet browsers,,4
UDBS,Social networking,"Class here: Facebook, Twitter, etc",4
UDBV,Virtual worlds ,"Class here: Second life, etc. See also: UDX “Computer games / online games: strategy guides”",4
UDF,Email: consumer/user guides,,3
UDH,Portable & handheld devices: consumer/user guides,"Class here: ebook readers, tablets, iPad, etc; for smartphones, use UDT “Mobile phones: consumer/user guides”",3
UDM,Digital music: consumer/user guides,"Class here: music downloads, iPods, mp3 players etc",3
UDP,Digital photography: consumer/user guides,Use for all consumer/user guides to digital photography. Use with AJG “Photographic equipment and techniques” for general and artistic aspects; use with UGP “Photo and image editing” for technical works on editing and software such as Photoshop,3
UDQ,Digital video: consumer/user guides,,3
UDT,Mobile phones: consumer/user guides,Class here: smartphones. See also: UDH “Portable and handheld devices: consumer/user guides”,3
UDV,Digital TV & media centres: consumer/user guides,,3
UDX,Computer games / online games: strategy guides,See also: UDBG “Internet gambling”,3
UF,Business applications,"Note: use UF* codes as appropriate for software whether delivered online or on physical media. For business database software, see UNS “Database software” and following",2
UFB,Integrated software packages,"Note: use for all wordprocessing, spreadsheets, databases, etc in an integrated package",3
UFBC,Microsoft Office,,4
UFBF,Microsoft Works,,4
UFBL,Lotus Smartsuite,,4
UFBP,OpenOffice,,4
UFBS,StarOffice,,4
UFBW,iWork,,4
UFC,Spreadsheet software,,3
UFCE,Excel,,4
UFCL,Lotus 1-2-3,,4
UFD,Word processing software,,3
UFDM,Microsoft Word,,4
UFG,Presentation graphics software,,3
UFGP,PowerPoint,,4
UFK,Accounting software,,3
UFL,Enterprise software,,3
UFLS,"SAP (Systems, applications & products in databases)",,4
UFM,Mathematical & statistical software,,3
UFP,Project management software,,3
UFS,Collaboration & group software,,3
UG,Graphical & digital media applications,,2
UGB,Web graphics & design,,3
UGC,Computer-aided design (CAD),,3
UGD,Desktop publishing,,3
UGG ,Computer games design,,4
UGK,3D graphics & modelling,,3
UGL,Illustration & drawing software,,3
UGM,Digital music: professional,,3
UGN,Digital animation,,3
UGP,Photo & image editing,,3
UGV,Digital video: professional,,3
UK,Computer hardware,"For computer architecture, use UXF “Computer architecture and logic design”",2
UKC,Supercomputers,,3
UKD,Mainframes & minicomputers,,3
UKF,Servers,"For Windows servers, use ULD plus UKF",3
UKG,Grid & parallel computing,,3
UKM,Embedded systems,,3
UKN,Network hardware,,3
UKP,Personal computers,,3
UKPC,PCs (IBM-compatible personal computers),,4
UKPM,Macintosh,,4
UKR,Maintenance & repairs,,3
UKS,Storage media & peripherals,,3
UKX,Utilities & tools,,3
UL,Operating systems,,2
ULD,Windows & variants,"For Windows servers, use ULD plus UKF",3
ULDF,Windows 7,,4
ULDG,Windows Vista,,4
ULDL,Windows 2003,,4
ULDP,Windows XP,,4
ULDT,Windows 2000,,4
ULDX,Windows NT,,4
ULH,Macintosh OS,,3
ULL,Linux,,3
ULLD,Debian,,4
ULLR,Red Hat,,4
ULLS,SUSE,,4
ULLU,UBUNTU,,4
ULN,UNIX,,3
ULNB,BSD / FreeBSD,,4
ULNH,HP-UX,,4
ULNM,IBM AIX,,4
ULNS,Sun Solaris,,4
ULP,Handheld operating systems,,3
ULQ,IBM mainframe operating systems,,3
ULR,Real time operating systems,,3
UM,Computer programming / software development,,2
UMA,Program concepts / learning to program,,3
UMB,Algorithms & data structures,,3
UMC,Compilers,,3
UMF,Agile programming,,3
UMG,Aspect programming / AOP,,3
UMH,Extreme programming,,3
UMJ,Functional programming,"Note: languages used include Lisp, Matlab, Haskell, XSLT, Scheme, Maple, etc",3
UMK,Games development & programming,"See also: UGG “Computer games design and applications”. Languages used include C++, Cg, Java, Lua, UnrealScript, etc",3
UMKB,2D graphics: games programming,,4
UMKC,3D graphics: games programming,,4
UMKL,Level design: games programming,,4
UML,Graphics programming,"Class here: Raster graphics, vector graphics, ActionScript, animation and rendering languages",3
UMN,Object-oriented programming (OOP),"Note: languages used include C++, C#, Java, Perl, Cobol, Visual Basic, etc",3
UMP,Microsoft programming,,3
UMPN,.Net programming,"Note: includes Windows Graphics Foundation, Communication Foundation, etc",4
UMPW,Windows programming,Note: include all aspects relevant to the Win32 APIs etc,4
UMQ,Macintosh programming,"Note: languages used include Objective C, Java, Cocoa, Carbon etc",3
UMR,Network programming,"Class here: IPC, RPC",3
UMS,Mobile & handheld device programming / Apps programming,"Class here: iOS, Android, OPL, etc programming",3
UMT,Database programming,"Note: languages used include SQL, PL/SQL, MDX, etc. See also: UN “Databases” and following",3
UMW,Web programming,"Note: languages used include Ajax; ASP; Awk; CGI; Coldfusion; CSS; Enterprise Service Bus (ESB); Flash; Flex; HTML; Java Server Pages; JavaScript; LAMP (Linux, Apache, PHP or Python or Perl, and MySQL); Mozilla; Perl; PHP; Python; Rails; Ruby; Sed; SGML; VBscript; Visual Web developer; xHTML, etc",3
UMWS,Web services,,4
UMX,Programming & scripting languages: general,"Class here general  works on specific languages where the purpose, such as Web programming or object-oriented programming, is not defined",3
UMZ,Software Engineering,,3
UMZL,Unified Modeling Language (UML),,4
UMZT,Software testing & verification,,4
UMZW,Object oriented software engineering,,4
UN,Databases,,2
UNA,Database design & theory,,3
UNAR,Relational databases,,4
UNC,Data capture & analysis,,3
UND,Data warehousing,,3
UNF,Data mining,,3
UNH,Information retrieval,,3
UNJ,Object-oriented databases,,3
UNK,Distributed databases,,3
UNN,Databases & the Web,,3
UNS,Database software,,3
UNSB,Oracle,,4
UNSC,Access,,4
UNSF,FileMaker,,4
UNSJ,SQL Server / MS SQL,,4
UNSK,SQLite,,4
UNSM,MySQL,,4
UNSP,PostgreSQL,,4
UNSX,IBM DB2,,4
UNSY,Sybase,,4
UQ,Computer certification,,2
UQF,Computer certification: Microsoft,,3
UQJ,Computer certification: Cisco,,3
UQL,Computer certification: ECDL,,3
UQR,Computer certification: CompTia,"Class here: A+, 1 Net+",3
UQT,Computer certification: CLAiT,,3
UR,Computer security,,2
URD,Privacy & data protection,,3
URH,Computer fraud & hacking,,3
URJ,"Computer viruses, Trojans & worms",,3
URQ,Firewalls,,3
URS,Spam,,3
URW,Spyware,,3
URY,Data encryption,See also: GPJ “Coding theory and cryptology”,3
UT,Computer networking & communications,"For Network hardware, use UKN “Network hardware”",2
UTC,Cloud computing,,3
UTD,Client-Server networking,,3
UTF,Network management,,3
UTFB,Computer systems back-up & data recovery,,4
UTG,Grid computing,,3
UTM,Electronic mail (email): professional,,3
UTN,Network security,,3
UTP,Networking standards & protocols,"Class here: DNS, TCP/IP",3
UTR,Distributed systems,,3
UTS,Networking packages,"Class here: NetWare, Lotus Notes etc",3
UTV,Virtualisation,,3
UTW,WAP networking & applications,See also: TJKW “WAP (wireless) technology” for underlying technology,3
UTX,EDI (electronic data interchange),,3
UY,Computer science,,2
UYA,Mathematical theory of computation,,3
UYAM,Maths for computer scientists,,4
UYD,Systems analysis & design,See also: GPFC “Cybernetics and systems theory”,3
UYF,Computer architecture & logic design,See also: TJFD1 “Microprocessors”,3
UYFL,Assembly languages,,4
UYFP,Parallel processing,,4
UYM,Computer modelling & simulation,"Use for technical and specialist works, inc those from other disciplines: statistics, engineering, etc",3
UYQ,Artificial intelligence,,3
UYQE,Expert systems / knowledge-based systems,,4
UYQL,Natural language & machine translation,,4
UYQM,Machine learning,,4
UYQN,Neural networks & fuzzy systems,,4
UYQP,Pattern recognition,,4
UYQS,Speech recognition,,4
UYQV,Computer vision,,4
UYS,Signal processing,,3
UYT,Image processing,"Note: use for general aspects of image processing, including standards, encoding and manipulation of data",3
UYU,Audio processing,"Note: use for general aspects of computerized processing of audio data, including standards, encoding and manipulation of data",3
UYV,Virtual reality,,3
UYZ,Human-computer interaction,,3
UYZF,Information visualization,,4
UYZG,User interface design & usability,,4
UYZM,Information architecture,,4
V,Health & personal development,"Note: many headings in Section V relate closely to headings in other sections. Use Section V for popularized accounts for general readership; prefer Sections J, K, M, T etc, as appropriate, for serious, specialist and academic works. Do not use “V” on individual books; select appropriate code(s) from Section V below",1
VF,Family & health,,2
VFB,Personal safety,,3
VFD,Popular medicine & health,,3
VFDF,First aid for the home,,4
VFDM,Men's health,,4
VFDW,Women's health,,4
VFG,Home nursing & caring,,3
VFJ,Coping with personal problems,,3
VFJB,Coping with illness & specific conditions,"Use BEFORE an M* code for specific condition where available, eg MJCJ2 “HIV/AIDS”; MJCM1 “Allergies”; MJGD “Diabetes”; MJNA “Autism & Asperger’s Syndrome”; MJND “Alzheimer’s & dementia”",4
VFJD,Coping with disability,,4
VFJG,Coping with old age,,4
VFJJ,Coping with eating disorders,,4
VFJK,Coping with drug & alcohol abuse,,4
VFJP,Coping with anxiety & phobias,,4
VFJS,Coping with stress,,4
VFJX,Coping with death & bereavement,Class here: funerals. See also: KNSZ “Funeral services”,4
VFL,Giving up smoking,,3
VFM,Fitness & diet,,3
VFMD,Diets & dieting,,4
VFMG,Exercise & workout books,,4
VFMS,Massage,See also: VXHJ “Reflexology”,4
VFV,Family & relationships,"Note: Use JH* codes for academic and sociological works. For weddings, use WJW “Weddings, wedding planners”; for family history, use WQY “Family history, tracing ancestors”",3
VFVC,"Sex & sexuality, sex manuals",,4
VFVG,"Dating, relationships, living together & marriage",,4
VFVK,Adoption,,4
VFVS,Separation & divorce,,4
VFVX,Intergenerational relationships,"Class here: mother-daughter, grandparent-grandchild",4
VFX,Advice on parenting,,3
VFXB,"Pregnancy, birth & baby care",,4
VFXB1,Baby names,,5
VFXC,Child care & upbringing,,4
VFXC1,Teenagers: advice for parents,,5
VS,Self-help & personal development,"For popular philosophy, use HPX “Popular philosophy”",2
VSB,Personal finance,,3
VSC,Advice on careers & achieving success,,3
VSD,"Law, citizenship & rights for the lay person",,3
VSF,"Roadcraft, driving & the Highway Code",,3
VSG,Consumer advice,See also WJS “Shopping guides”,3
VSH,Housing & property for the individual - buying/selling & legal aspects,,3
VSK,Advice on education,,3
VSL,Adult literacy guides & handbooks,,3
VSN,Adult numeracy guides & handbooks,,3
VSP,Popular psychology,,3
VSPM,"Assertiveness, motivation & self-esteem",,4
VSPT,Memory improvement & thinking techniques,Class here: IQ tests,4
VSPX,Neuro Linguistic Programming (NLP),,4
VSR,Retirement,,3
VSW,Living & working abroad,,3
VSZ,Green lifestyle & self-sufficiency,,3
VX,"Mind, Body, Spirit",,2
VXA,"Mind, Body, Spirit: thought & practice",,3
VXF,Fortune-telling & divination,,3
VXFA,Astrology,,4
VXFA1,Star signs & horoscopes,,5
VXFC,Fortune-telling by cards (cartomancy),,4
VXFC1,Tarot,,5
VXFD,The I Ching,,4
VXFG,Graphology,,4
VXFJ,"Palmistry, phrenology & physiognomy",,4
VXFN,Numerology,,4
VXFT,Clairvoyance & precognition,,4
VXH,"Complementary therapies, healing & health",See also: MX “Complementary medicine” for works for medical students and practitioners,3
VXHA,Alexander technique,,4
VXHC,Aromatherapy & essential oils,,4
VXHH,Homoeopathy,,4
VXHJ,Reflexology,,4
VXHK,Reiki,,4
VXHT,Traditional medicine & herbal remedies,,4
VXHT1,Chinese medicine & acupuncture,,5
VXHT2,Ayurvedic therapies,,5
VXM,"Mind, body, spirit: meditation & visualisation",,3
VXN,Dreams & their interpretation,,3
VXP,Psychic powers & psychic phenomena,"Class here: ESP, popular accounts of telepathy, telekinesis etc; see also JMX “Parapsychological studies” for serious academic works",3
VXPC,Crystals & colour-healing,,4
VXPH,"Chakras, auras & spiritual energy",,4
VXPJ,Astral projection & out-of-body experiences,,4
VXPR,"The afterlife, reincarnation & past lives",,4
VXPS,"Spirit guides, angels & channelling",,4
VXQ,Unexplained phenomena / the paranormal,"For folklore, myths and legends, use JFHF “Folklore, myths and legends”",3
VXQB,UFOs & extraterrestrial beings,,4
VXQG,Ghosts & poltergeists,,4
VXQM,Monsters & legendary beings,"Class here: Loch Ness monster, Abominable Snowman, etc",4
VXV,Feng Shui,,3
VXW,"Mysticism, magic & ritual","Class here popular works on the occult. See also: HRQX codes for serious, academic studies",3
VXWK,Kabbalah: popular works,"See also HRJX “Judaism: mysticism” for serious, religious and academic works on Kabbalah",4
VXWM,"Magic, spells & alchemy",,4
VXWS,"Shamanism, paganism & druidry",,4
VXWT,Witchcraft & Wicca,,4
W,"Lifestyle, sport & leisure","Note: many headings in Section W relate closely to headings in other sections. Use Section W for popular accounts for general readership; prefer Sections A, K, P, R, T, etc, as appropriate, for serious, specialist and academic works. Do not use “W” on individual books; select appropriate code(s) from Section W below",1
WB,Cookery / food & drink etc,,2
WBA,General cookery & recipes,,3
WBB,TV / celebrity chef cookbooks,Class here: recipes from famous restaurants,3
WBC,Cooking for one,,3
WBD,Budget cookery,,3
WBF,Quick & easy cooking,,3
WBH,Health & wholefood cookery,,3
WBHS,Cookery for specific diets & conditions,,4
WBJ,Vegetarian cookery,,3
WBN,National & regional cuisine,Note: assign also the appropriate Geographical qualifier,3
WBQ,Cooking for/with children,,3
WBR,Cooking for parties,,3
WBS,Cooking with specific gadgets,"Eg microwave cooking, wok, barbecue",3
WBT,Cookery by ingredient,,3
WBTB,Cooking with meat & game,,4
WBTC,Cooking with chicken & other poultry,,4
WBTF,Cooking with fish & seafood,,4
WBTH,Cooking with herbs & spices,,4
WBTP,Pasta dishes,,4
WBTR,Cooking with dairy products,,4
WBTX,Cooking with chocolate,,4
WBV,Cookery dishes & courses,,3
WBVD,Soups & starters,,4
WBVG,Salads,,4
WBVM,Main courses,,4
WBVQ,Desserts,,4
WBVS,"Cakes, baking, icing & sugarcraft",,4
WBW,Preserving & freezing,,3
WBX,Beverages,,3
WBXD,Alcoholic beverages,,4
WBXD1,Wines,,5
WBXD2,Beers,,5
WBXD3,Spirits & cocktails,,5
WBXN,Non-alcoholic beverages,,4
WBZ,Cigars & smoking,See also: VFL “Giving up smoking”,3
WC,Antiques & collectables,,2
WCB,Antiques & collectables: buyer's guides,"Class here: price guides, guides to auctions, valuation, etc. See also UDBA “Online shopping and auctions”",3
WCC,Care & restoration of antiques,,3
WCF,"Coins, banknotes, medals, seals (numismatics)",,3
WCG,"Stamps, philately",,3
WCJ,"Antique clocks, watches, musical boxes & automata",,3
WCK,"Militaria, arms & armour",,3
WCL,Antique furniture / furniture collecting,,3
WCN,Antiques & collectables: ceramics & glass,,3
WCP,Antiques & collectables: jewellery,,3
WCR,Antiques & collectables: gold & silver (other than jewellery),,3
WCS,"Antiques & collectables: books, manuscripts, ephemera & printed matter","Note: includes cigarette cards, postcards, comics, autographs, photographs, phonecards, etc",3
WCU,"Antiques & collectables: pictures, prints & maps",,3
WCV,"Antiques & collectables: carpets, rugs & textiles","Note: includes lace, costume and accessories, quilts, embroidery, samplers, tapestries, etc",3
WCW,"Antiques & collectables: toys, games & models","Note: includes dolls, dolls’ houses, tin-plate toys, teddy bears, etc",3
WCX,Antiques & collectables: scientific & musical instruments,"Note: except clocks, musical boxes etc – for these, see WCJ “Antique clocks, watches, musical boxes and automata”",3
WD,"Hobbies, quizzes & games",,2
WDH,Hobbies,"See also: WF “Handicrafts, Decorative Arts and Crafts” and following; for stamp-collecting, use WCG “Stamps, philately”",3
WDHM,Model railways,,4
WDHR,Radio-controlled models,,4
WDHW,"Role-playing, war games & fantasy sports",,4
WDJ,3-D images & optical illusions,,3
WDK,Puzzles & quizzes,,3
WDKC,Crosswords,,4
WDKN,Sudoku & number puzzles,,4
WDKX,Trivia & quiz question books,,4
WDM,Indoor games,See also: UDX “Computer games / online games: strategy guides”,3
WDMC,Card games,,4
WDMC1,Bridge,,5
WDMC2,Poker,,5
WDMG,Board games,,4
WDMG1,Chess,,5
WDP,Gambling: theories & methods,See also: UDBG “Internet gambling”,3
WF,"Handicrafts, decorative arts & crafts","Note: use WF* codes for practical, ‘how-to’ and hobbyist approaches; prefer codes from Section A where appropriate for art history and criticism approaches",2
WFA,Painting & art manuals,,3
WFB,Needlework & fabric crafts,,3
WFBC,Embroidery crafts,"Class here: cross-stitch, needlepoint, tapestry-making, etc",4
WFBL,Lace & lacemaking,,4
WFBQ,"Quiltmaking, patchwork & applique",,4
WFBS,Knitting & crochet,,4
WFBV,Batik & tie-dye,,4
WFC,"Ropework, knots & macrame",,3
WFF,Rug & carpetmaking,,3
WFG,Spinning & weaving,,3
WFH,Toys: making & decorating,"Includes soft toys, dolls, dolls’ houses etc",3
WFJ,Jewellery & beadcraft,,3
WFK,Decorative finishes & surfaces,Class here: decoupage,3
WFL,Decorative wood & metalwork,Class here: box-making,3
WFLF,Picture framing,,4
WFN,"Pottery, ceramics & glass crafts",,3
WFS,"Carving & modelling, moulding & casting","Class here: woodcarving,  resin and plaster work, doughcraft, candle-making, etc",3
WFT,Book & paper crafts,,3
WFTG,Greeting cards,,4
WFTM,Origami & paper engineering,,4
WFTS,Scrapbook keeping,,4
WFU,Lettering & calligraphy,,3
WFV,Rural crafts,,3
WFW,Flower arranging & floral crafts,,3
WG,Transport: general interest,,2
WGC,Road & motor vehicles: general interest,,3
WGCB,Motor cars: general interest,,4
WGCF,"Buses, trams & commercial vehicles: general interest",,4
WGCK,Motorcycles: general interest,,4
WGCT,Tractors & farm vehicles: general interest,,4
WGCV,Vehicle maintenance & manuals,,4
WGF,Trains & railways: general interest,,3
WGG,Ships & boats: general interest,See also: WSSN “Boating” and following; HBTM “Maritime history”,3
WGGN,Narrowboats & canals,,4
WGGV,Boatbuilding & maintenance,See also: TRLD “Ship design and naval architecture”,4
WGM,Aircraft: general interest,,3
WH,Humour,,2
WHC,Cartoons & comic strips,See also: FX “Graphic novels” and following,3
WHG,TV tie-in humour,,3
WHJ,Jokes & riddles,,3
WHL,Slang & dialect humour,,3
WHP,Parodies & spoofs,,3
WHX,Humour collections & anthologies,,3
WJ,Lifestyle & personal style guides,"For dating and singles, use VFVG “Dating, relationships, living together and marriage”; for sex manuals, use VFVC “Sex and sexuality, sex manuals”",2
WJF,Fashion & style guides,,3
WJH,"Cosmetics, hair & beauty",,3
WJK,"Interior design, decor & style guides",,3
WJS,Shopping guides,See also: VSG ”Consumer guides and advice” for practical advice on products; UDBA “Online shopping and auctions”,3
WJW,"Weddings, wedding planners",,3
WJX,"Parties, etiquette & entertaining",,3
WK,Home & house maintenance,"For housing and property, see also VSH “Housing and property for the individual – buying / selling and legal”; for interior design and decoration, use WJK “Interior design, decoration and style guides”",2
WKD,DIY: general,,3
WKDM,DIY: house maintenance manuals,,4
WKDW,DIY: carpentry & woodworking,,4
WKH,Household hints,,3
WKR,Home renovation & extension,,3
WM,Gardening,See also: TVS “Horticulture”,2
WMB,"Gardens (descriptions, history etc)",,3
WMD,Garden design & planning,,3
WMF,"Greenhouses, conservatories, patios",,3
WMP,Gardening: plants,,3
WMPC,Gardening: flowers,,4
